,digit
0,7
1,2
2,1
3,0
4,4
5,1
6,4
7,9
8,5
9,9
10,0
11,6
12,9
13,0
14,1
15,5
16,0
17,6
18,9
19,6
20,1
21,9
22,7
23,7
24,1
25,4
26,8
27,5
28,3
29,4
30,3
31,4
32,9
33,7
34,5
35,0
36,7
37,4
38,8
39,8
40,1
41,5
42,3
43,9
44,5
45,9
46,7
47,6
48,9
49,0
50,3
51,6
52,3
53,9
54,8
55,2
56,2
57,1
58,2
59,8
60,6
61,8
62,5
63,5
64,3
65,9
66,4
67,9
68,2
69,5
70,1
71,5
72,1
73,4
74,4
75,1
76,4
77,4
78,3
79,5
80,9
81,1
82,2
83,2
84,3
85,3
86,0
87,2
88,9
89,0
90,0
91,9
92,9
93,6
94,0
95,9
96,3
97,2
98,8
99,4
100,1
101,9
102,9
103,7
104,2
105,7
106,9
107,9
108,5
109,9
110,5
111,1
112,1
113,8
114,3
115,5
116,1
117,9
118,5
119,3
120,5
121,4
122,9
123,5
124,9
125,3
126,1
127,9
128,0
129,9
130,7
131,5
132,4
133,9
134,2
135,0
136,1
137,0
138,5
139,1
140,4
141,9
142,3
143,3
144,6
145,1
146,5
147,2
148,5
149,2
150,2
151,0
152,9
153,2
154,6
155,6
156,0
157,1
158,2
159,0
160,3
161,0
162,2
163,5
164,5
165,7
166,9
167,5
168,5
169,0
170,8
171,9
172,5
173,0
174,3
175,2
176,5
177,9
178,0
179,8
180,8
181,4
182,5
183,8
184,8
185,4
186,5
187,4
188,8
189,5
190,4
191,9
192,2
193,2
194,1
195,2
196,6
197,8
198,8
199,7
200,0
201,3
202,6
203,6
204,4
205,3
206,8
207,8
208,7
209,2
210,2
211,0
212,0
213,9
214,3
215,9
216,9
217,1
218,9
219,8
220,6
221,6
222,4
223,2
224,6
225,9
226,2
227,8
228,5
229,4
230,5
231,7
232,9
233,9
234,9
235,2
236,1
237,8
238,3
239,4
240,0
241,7
242,8
243,3
244,9
245,3
246,4
247,6
248,5
249,6
250,2
251,3
252,9
253,2
254,6
255,0
256,0
257,6
258,1
259,2
260,8
261,7
262,9
263,8
264,2
265,0
266,4
267,7
268,7
269,5
270,0
271,5
272,6
273,4
274,6
275,7
276,4
277,3
278,0
279,7
280,5
281,0
282,7
283,4
284,2
285,0
286,8
287,9
288,9
289,4
290,2
291,4
292,6
293,7
294,8
295,7
296,6
297,9
298,4
299,1
300,3
301,7
302,3
303,0
304,8
305,8
306,7
307,6
308,9
309,3
310,9
311,2
312,2
313,9
314,2
315,1
316,8
317,3
318,2
319,9
320,6
321,8
322,4
323,0
324,1
325,2
326,8
327,4
328,5
329,2
330,7
331,8
332,1
333,1
334,3
335,0
336,3
337,5
338,7
339,0
340,3
341,1
342,9
343,3
344,6
345,3
346,1
347,7
348,7
349,3
350,0
351,8
352,4
353,8
354,2
355,6
356,5
357,2
358,9
359,7
360,3
361,9
362,0
363,9
364,9
365,6
366,4
367,2
368,9
369,7
370,2
371,1
372,1
373,6
374,7
375,4
376,7
377,5
378,9
379,6
380,8
381,2
382,1
383,4
384,4
385,5
386,7
387,6
388,1
389,3
390,2
391,5
392,9
393,9
394,3
395,6
396,1
397,1
398,4
399,6
400,9
401,7
402,2
403,1
404,5
405,1
406,4
407,6
408,3
409,8
410,1
411,1
412,0
413,3
414,1
415,6
416,8
417,4
418,9
419,0
420,7
421,3
422,0
423,2
424,9
425,0
426,6
427,6
428,6
429,3
430,6
431,7
432,7
433,2
434,8
435,6
436,0
437,8
438,3
439,0
440,2
441,9
442,8
443,3
444,2
445,5
446,3
447,8
448,8
449,0
450,0
451,1
452,9
453,5
454,1
455,3
456,9
457,6
458,0
459,1
460,4
461,1
462,7
463,1
464,2
465,3
466,7
467,9
468,7
469,4
470,9
471,9
472,3
473,9
474,2
475,8
476,2
477,7
478,1
479,8
480,0
481,9
482,1
483,0
484,1
485,7
486,7
487,9
488,6
489,9
490,9
491,9
492,2
493,1
494,6
495,1
496,3
497,5
498,7
499,1
500,9
501,7
502,6
503,4
504,5
505,7
506,6
507,6
508,9
509,9
510,6
511,3
512,6
513,2
514,9
515,8
516,1
517,2
518,2
519,5
520,5
521,2
522,3
523,7
524,2
525,1
526,0
527,1
528,0
529,4
530,5
531,2
532,8
533,2
534,8
535,3
536,5
537,1
538,7
539,8
540,1
541,1
542,2
543,9
544,7
545,8
546,4
547,0
548,3
549,0
550,7
551,8
552,8
553,4
554,7
555,7
556,8
557,5
558,8
559,4
560,9
561,8
562,1
563,3
564,8
565,0
566,3
567,1
568,7
569,9
570,5
571,5
572,1
573,6
574,5
575,7
576,4
577,9
578,3
579,5
580,4
581,7
582,1
583,2
584,0
585,8
586,1
587,6
588,0
589,7
590,3
591,4
592,7
593,3
594,9
595,6
596,0
597,8
598,6
599,4
600,8
601,7
602,7
603,9
604,3
605,8
606,6
607,9
608,7
609,2
610,3
611,4
612,0
613,2
614,1
615,8
616,3
617,5
618,5
619,7
620,2
621,4
622,6
623,7
624,2
625,8
626,3
627,0
628,8
629,7
630,8
631,9
632,0
633,8
634,4
635,4
636,5
637,8
638,5
639,6
640,6
641,3
642,0
643,9
644,3
645,7
646,6
647,8
648,9
649,3
650,4
651,9
652,5
653,8
654,9
655,1
656,2
657,8
658,8
659,6
660,8
661,1
662,3
663,7
664,9
665,0
666,1
667,1
668,4
669,7
670,0
671,8
672,1
673,7
674,4
675,5
676,7
677,1
678,2
679,1
680,1
681,3
682,9
683,6
684,2
685,1
686,2
687,8
688,0
689,7
690,6
691,6
692,9
693,3
694,7
695,0
696,5
697,2
698,8
699,0
700,5
701,4
702,3
703,8
704,4
705,6
706,6
707,2
708,7
709,9
710,5
711,1
712,3
713,2
714,4
715,3
716,6
717,1
718,9
719,4
720,4
721,7
722,6
723,5
724,4
725,1
726,9
727,9
728,2
729,7
730,8
731,0
732,1
733,3
734,6
735,1
736,3
737,4
738,1
739,1
740,1
741,5
742,6
743,0
744,7
745,0
746,7
747,2
748,3
749,2
750,5
751,2
752,2
753,9
754,4
755,9
756,8
757,1
758,2
759,1
760,6
761,1
762,2
763,7
764,8
765,0
766,0
767,0
768,8
769,2
770,2
771,9
772,2
773,2
774,7
775,9
776,9
777,2
778,7
779,5
780,1
781,3
782,4
783,9
784,4
785,1
786,8
787,5
788,6
789,2
790,8
791,3
792,1
793,2
794,8
795,4
796,9
797,9
798,3
799,7
800,0
801,7
802,7
803,2
804,3
805,2
806,4
807,0
808,3
809,9
810,9
811,8
812,4
813,1
814,0
815,6
816,0
817,9
818,6
819,8
820,6
821,1
822,1
823,9
824,8
825,9
826,2
827,3
828,5
829,5
830,9
831,4
832,2
833,1
834,9
835,4
836,3
837,9
838,6
839,0
840,4
841,0
842,6
843,0
844,1
845,2
846,3
847,4
848,7
849,8
850,9
851,0
852,1
853,2
854,3
855,4
856,7
857,8
858,9
859,0
860,1
861,2
862,3
863,4
864,5
865,6
866,7
867,8
868,9
869,8
870,3
871,4
872,7
873,8
874,6
875,3
876,4
877,0
878,9
879,7
880,1
881,9
882,3
883,8
884,4
885,7
886,3
887,0
888,9
889,1
890,4
891,5
892,4
893,6
894,2
895,0
896,6
897,2
898,1
899,1
900,1
901,1
902,7
903,2
904,4
905,7
906,5
907,2
908,9
909,4
910,5
911,8
912,4
913,2
914,9
915,7
916,0
917,0
918,7
919,5
920,1
921,1
922,7
923,6
924,6
925,6
926,8
927,2
928,2
929,7
930,7
931,4
932,0
933,2
934,4
935,2
936,1
937,8
938,9
939,6
940,1
941,0
942,5
943,9
944,6
945,9
946,8
947,0
948,3
949,0
950,8
951,3
952,9
953,6
954,3
955,0
956,1
957,2
958,3
959,4
960,5
961,6
962,7
963,0
964,1
965,2
966,3
967,4
968,5
969,6
970,7
971,8
972,9
973,0
974,1
975,2
976,3
977,4
978,5
979,6
980,7
981,8
982,5
983,4
984,8
985,7
986,4
987,7
988,7
989,3
990,9
991,8
992,8
993,3
994,1
995,5
996,8
997,2
998,7
999,4
1000,2
1001,1
1002,5
1003,4
1004,5
1005,5
1006,8
1007,6
1008,4
1009,4
1010,4
1011,1
1012,8
1013,7
1014,5
1015,5
1016,1
1017,8
1018,9
1019,1
1020,3
1021,6
1022,3
1023,3
1024,2
1025,2
1026,6
1027,9
1028,9
1029,6
1030,5
1031,5
1032,3
1033,3
1034,8
1035,1
1036,6
1037,5
