,digit
0,5
1,2
2,5
3,4
4,9
5,0
6,0
7,9
8,9
9,0
10,7
11,3
12,6
13,3
14,5
15,1
16,5
17,4
18,6
19,4
20,9
21,8
22,3
23,0
24,9
25,1
26,6
27,3
28,9
29,4
30,7
31,2
32,8
33,1
34,0
35,6
36,3
37,4
38,4
39,1
40,3
41,8
42,4
43,0
44,3
45,3
46,7
47,1
48,5
49,9
50,6
51,3
52,9
53,4
54,6
55,4
56,0
57,1
58,7
59,7
60,7
61,3
62,1
63,4
64,1
65,7
66,5
67,1
68,1
69,2
70,7
71,9
72,7
73,7
74,9
75,0
76,1
77,4
78,2
79,6
80,7
81,4
82,2
83,6
84,0
85,2
86,5
87,0
88,2
89,7
90,4
91,7
92,8
93,3
94,3
95,0
96,5
97,1
98,8
99,1
100,3
101,0
102,6
103,8
104,0
105,0
106,1
107,1
108,9
109,7
110,1
111,1
112,3
113,0
114,7
115,2
116,6
117,0
118,6
119,2
120,2
121,6
122,7
123,0
124,6
125,9
126,2
127,4
128,0
129,3
130,9
131,8
132,2
133,9
134,0
135,8
136,5
137,4
138,3
139,1
140,5
141,1
142,4
143,6
144,9
145,5
146,6
147,8
148,9
149,1
150,6
151,7
152,8
153,2
154,6
155,8
156,5
157,3
158,9
159,1
160,9
161,6
162,7
163,7
164,7
165,3
166,6
167,3
168,0
169,2
170,3
171,8
172,0
173,9
174,8
175,7
176,0
177,0
178,1
179,4
180,8
181,1
182,9
183,0
184,9
185,9
186,6
187,2
188,2
189,1
190,0
191,6
192,7
193,1
194,9
195,7
196,3
197,7
198,1
199,5
200,2
201,0
202,6
203,4
204,6
205,1
206,2
207,6
208,5
209,9
210,8
211,4
212,5
213,1
214,3
215,8
216,4
217,0
218,2
219,2
220,6
221,2
222,4
223,0
224,5
225,0
226,5
227,8
228,4
229,9
230,5
231,7
232,7
233,9
234,1
235,1
236,4
237,8
238,6
239,7
240,7
241,8
242,5
243,1
244,8
245,9
246,1
247,7
248,5
249,3
250,1
251,7
252,4
253,5
254,2
255,8
256,3
257,2
258,1
259,5
260,4
261,2
262,7
263,9
264,0
265,5
266,8
267,1
268,2
269,6
270,0
271,6
272,2
273,8
274,6
275,4
276,5
277,2
278,1
279,7
280,2
281,6
282,4
283,4
284,1
285,4
286,2
287,2
288,2
289,5
290,3
291,3
292,6
293,8
294,3
295,9
296,7
297,2
298,1
299,0
300,1
301,4
302,4
303,2
304,3
305,1
306,1
307,0
308,5
309,6
310,5
311,1
312,9
313,1
314,0
315,0
316,5
317,5
318,6
319,4
320,4
321,6
322,7
323,3
324,0
325,3
326,7
327,4
328,4
329,2
330,3
331,7
332,6
333,1
334,8
335,7
336,3
337,2
338,9
339,0
340,7
341,2
342,3
343,0
344,0
345,6
346,1
347,3
348,0
349,0
350,9
351,4
352,2
353,4
354,3
355,4
356,2
357,8
358,9
359,5
360,6
361,7
362,6
363,8
364,2
365,7
366,1
367,9
368,3
369,7
370,6
371,8
372,8
373,7
374,9
375,5
376,2
377,0
378,0
379,8
380,9
381,4
382,6
383,0
384,1
385,8
386,8
387,6
388,0
389,0
390,2
391,7
392,2
393,7
394,0
395,8
396,3
397,9
398,7
399,3
400,0
401,8
402,4
403,6
404,7
405,9
406,9
407,0
408,1
409,5
410,3
411,7
412,4
413,3
414,0
415,6
416,1
417,3
418,3
419,7
420,1
421,7
422,7
423,4
424,0
425,4
426,2
427,8
428,9
429,3
430,3
431,4
432,2
433,8
434,6
435,9
436,4
437,6
438,0
439,9
440,3
441,0
442,5
443,1
444,3
445,6
446,1
447,3
448,6
449,3
450,4
451,1
452,7
453,3
454,0
455,0
456,8
457,3
458,3
459,0
460,9
461,8
462,8
463,1
464,1
465,0
466,3
467,8
468,6
469,2
470,1
471,9
472,0
473,8
474,9
475,3
476,2
477,6
478,2
479,5
480,0
481,3
482,4
483,5
484,1
485,9
486,2
487,2
488,5
489,4
490,2
491,9
492,5
493,1
494,5
495,6
496,3
497,4
498,6
499,9
500,7
501,6
502,4
503,3
504,9
505,8
506,7
507,7
508,8
509,3
510,8
511,4
512,8
513,9
